t,px,py,pz,qw,qx,qy,qz
2.033333,0.128341,0.493902,0.188689,0.827587,0.327652,0.43265,0.143379
2.041667,0.127643,0.493433,0.187209,0.827458,0.326653,0.433583,0.143584
2.05,0.127062,0.492937,0.185619,0.826878,0.326375,0.434877,0.143646
2.058333,0.1265,0.492428,0.183981,0.826501,0.326475,0.435629,0.143308
2.066667,0.125929,0.492026,0.182088,0.826916,0.324138,0.436524,0.143497
2.075,0.125581,0.491502,0.180173,0.826468,0.324123,0.437506,0.143119
2.083333,0.125227,0.491163,0.178386,0.827543,0.322415,0.436433,0.144037
2.091667,0.124942,0.490575,0.175886,0.826495,0.321732,0.439401,0.142553
2.1,0.124728,0.490164,0.173484,0.826946,0.3189,0.440616,0.142553
2.108333,0.124499,0.489702,0.171103,0.827124,0.317608,0.441415,0.141931
2.116667,0.124366,0.48925,0.168618,0.827025,0.316456,0.442641,0.141259
2.125,0.124387,0.488775,0.165972,0.827161,0.31503,0.443545,0.140814
2.133333,0.124352,0.488316,0.163309,0.827188,0.313822,0.444643,0.139887
2.141667,0.124383,0.487837,0.160526,0.827247,0.312637,0.445633,0.139041
2.15,0.124476,0.487347,0.157654,0.827256,0.311402,0.446778,0.138077
2.158333,0.124561,0.48685,0.154703,0.827331,0.310124,0.447859,0.136999
2.166667,0.124639,0.486312,0.151786,0.827162,0.309707,0.448883,0.135604
2.175,0.124827,0.485794,0.148518,0.828023,0.306517,0.449738,0.134763
2.183333,0.125054,0.485199,0.145401,0.827653,0.305873,0.451309,0.13324
2.191667,0.125224,0.484602,0.142176,0.8273,0.305107,0.452921,0.131709
2.2,0.125497,0.483966,0.138884,0.82713,0.303925,0.454462,0.130193
2.208333,0.125747,0.483332,0.135543,0.827044,0.3027,0.455866,0.128674
2.216667,0.126055,0.482645,0.13215,0.826788,0.301542,0.457536,0.127099
2.225,0.126429,0.481945,0.128703,0.826806,0.300048,0.458894,0.125619
2.233333,0.126782,0.481203,0.125215,0.826594,0.299266,0.460229,0.123984
2.241667,0.127172,0.480482,0.121684,0.826336,0.298264,0.461788,0.122304
2.25,0.127557,0.47972,0.118193,0.825595,0.298222,0.463675,0.120257
2.258333,0.127989,0.478961,0.114496,0.82579,0.296393,0.464788,0.119139
2.266667,0.128451,0.478205,0.110781,0.825429,0.295032,0.466671,0.117646
2.275,0.128835,0.477393,0.10704,0.825191,0.293997,0.467994,0.116651
2.283333,0.129191,0.476622,0.103331,0.824683,0.293258,0.469794,0.114851
2.291667,0.129598,0.475857,0.099519,0.824173,0.292298,0.471812,0.112671
2.3,0.129886,0.475058,0.095658,0.823679,0.29132,0.473583,0.111374
2.308333,0.130206,0.474389,0.091928,0.823304,0.293097,0.473449,0.110052
2.316667,0.13055,0.473621,0.087953,0.822858,0.29205,0.475248,0.108402
2.325,0.130886,0.472851,0.083908,0.822265,0.291066,0.477261,0.106693
2.333333,0.131224,0.472064,0.079826,0.821661,0.2901,0.479261,0.104999
2.341667,0.131672,0.471208,0.075541,0.820775,0.28625,0.483595,0.102593
2.35,0.131786,0.470358,0.071379,0.821326,0.286537,0.482554,0.102288
2.358333,0.132351,0.469544,0.067136,0.819678,0.283573,0.487772,0.098956
2.366667,0.132688,0.468685,0.062884,0.819088,0.281909,0.490124,0.096959
2.375,0.133052,0.467781,0.058589,0.818665,0.280263,0.49213,0.095119
2.383333,0.133441,0.466844,0.054276,0.818264,0.278477,0.494163,0.093259
2.391667,0.133847,0.465893,0.049958,0.817979,0.276609,0.496038,0.091344
2.4,0.134289,0.464928,0.045652,0.817678,0.274745,0.497915,0.089438
2.408333,0.13483,0.463904,0.041366,0.816928,0.27331,0.500222,0.087801
